Date;Open;High;Low;Close;AdjClose;Volume
9/30/2012;4052.89;4272.83;4047.28;4262.56;4262.4;725779600
10/31/2012;4249.69;4366.86;4214.52;4350.29;4350.12;828526500
11/30/2012;4331.75;4381.75;4255.27;4276.14;4275.97;700773800
12/31/2012;4277.19;4340.26;4222.13;4316.69;4316.52;658049900
1/31/2013;4322.58;4472.11;4298.61;4453.7;4453.53;778747500
2/28/2013;4458.6;4795.79;4457.45;4795.79;4795.6;1186292800
3/31/2013;4798.49;4940.99;4721.32;4940.99;4940.79;1128371800
4/30/2013;4927.12;5034.07;4856.3;5034.07;5033.88;1010530400
5/31/2013;5020.2;5251.3;4907.6;5068.63;5068.43;1067240300
6/30/2013;5053.54;5055.83;4373.38;4818.9;4818.71;834560100
7/31/2013;4757.18;4815.73;4403.8;4610.38;4610.2;684278500
8/31/2013;4618.96;4699.73;3837.74;4195.09;4194.93;669421900
9/30/2013;4196.72;4791.77;4012.68;4316.18;4316.01;925230400
10/31/2013;4314.96;4611.26;4314.96;4510.63;4510.46;730351500
11/30/2013;4473.73;4518.65;4202.92;4256.44;4256.27;631131500
12/31/2013;4269.08;4331.59;4109.31;4274.18;4274.01;557004700
1/31/2014;4294.5;4510.22;4161.19;4418.76;4418.58;580729700
2/28/2014;4407;4665.27;4320.78;4620.22;4620.04;699353100
3/31/2014;4589.62;4903.5;4567.76;4768.28;4768.09;872846300
4/30/2014;4796.16;4933.11;4721.6;4840.15;4839.96;766737100
5/31/2014;4845.34;5091.32;4828.22;4893.91;4893.72;624263300
6/30/2014;4900.97;4971.95;4835.04;4878.58;4878.39;593998300
7/31/2014;4877.65;5165.42;4862.42;5088.8;5088.6;769928200
8/31/2014;5076.23;5223.98;5043.52;5136.86;5136.66;716518500
9/30/2014;5159.94;5262.57;5082.73;5137.58;5137.38;786332000
10/31/2014;5148.57;5165.39;4900.72;5089.55;5089.35;759679100
11/30/2014;5102.54;5157.08;4965.39;5149.89;5149.69;800435500
12/31/2014;5150.38;5226.95;5005.27;5226.95;5226.74;1009883500
1/31/2015;5233.8;5325.04;5121.81;5289.4;5289.2;7433927300
2/28/2015;5277.15;5464.22;5254.04;5450.29;5450.08;813484700
3/31/2015;5452.83;5518.67;5350.47;5518.67;5518.46;998152400
4/30/2015;5516.8;5524.04;5015.01;5086.42;5086.23;902189400
5/31/2015;5093.33;5347.13;5089.42;5216.38;5216.18;771565700
6/30/2015;5212.13;5215.55;4826.13;4910.66;4910.47;4025555000
7/31/2015;4924.07;4982.91;4711.49;4802.53;4802.34;3981998500
8/31/2015;4778.04;4868.07;4111.11;4509.61;4509.43;3426642000
9/30/2015;4484.2;4484.79;4033.59;4223.91;4223.74;708305400
10/31/2015;4231.41;4696.16;4207.8;4455.18;4455.01;5446914600
11/30/2015;4442.42;4621.26;4395.97;4446.46;4446.29;599405500
12/31/2015;4504.22;4595.51;4330.76;4593.01;4592.83;2805804100
